InvoiceNumber,PaidDate,DueDate,RunDate,PremiumSubTotal,PaymentMethod,PaymentDate,RemittanceFreq,BillingAccount_BillingAccountID,InvoiceID
INV58501201,2023-08-01,2023-08-01,2023-08-01,351.27,Check,2023-08-01,Quarterly,272,578
INV17993520,2023-08-02,2023-08-02,2023-08-02,2805.5,Card,2023-08-02,Monthly,242,579
INV89234445,2023-08-03,2023-08-03,2023-08-03,2533.34,Check,2023-08-03,Quarterly,41,580
INV43199326,,2023-08-04,2023-08-04,573.76,Check,,Annual,204,581
INV69462973,2023-08-05,2023-08-05,2023-08-05,627.43,Card,2023-08-05,Monthly,138,582
INV84685387,2023-08-06,2023-08-06,2023-08-06,1377.5,Check,2023-08-06,Annual,52,583
INV89667951,2023-08-07,2023-08-07,2023-08-07,688.67,Check,2023-08-07,Monthly,291,584
INV72997003,,2023-08-08,2023-08-08,950.6,Card,,Monthly,235,585
INV54333231,2023-08-09,2023-08-09,2023-08-09,1715.34,Check,2023-08-09,Monthly,244,586
INV69847943,2023-08-10,2023-08-10,2023-08-10,2104.91,Check,2023-08-10,Monthly,26,587
INV44060771,2023-08-11,2023-08-11,2023-08-11,2222.83,Card,2023-08-11,Annual,106,588
INV28478953,,2023-08-12,2023-08-12,1739.66,ACH,,Annual,120,589
INV30812497,2023-08-13,2023-08-13,2023-08-13,1894.16,Card,2023-08-13,Annual,51,590
INV55895558,2023-08-14,2023-08-14,2023-08-14,1390.38,Check,2023-08-14,Monthly,155,591
INV18434417,2023-08-15,2023-08-15,2023-08-15,2299.26,Card,2023-08-15,Monthly,24,592
INV02790829,,2023-08-16,2023-08-16,724.56,Card,,Annual,292,593
INV11500569,2023-08-17,2023-08-17,2023-08-17,1622.11,Check,2023-08-17,Quarterly,259,594
INV15406493,2023-08-18,2023-08-18,2023-08-18,2855.2,Check,2023-08-18,Annual,104,595
INV36910346,2023-08-19,2023-08-19,2023-08-19,775.36,Card,2023-08-19,Monthly,158,596
INV30566909,,2023-08-20,2023-08-20,2486.65,ACH,,Quarterly,105,597
INV60755477,2023-08-21,2023-08-21,2023-08-21,2994.24,Card,2023-08-21,Annual,7,598
INV91509076,2023-08-22,2023-08-22,2023-08-22,2774.05,Check,2023-08-22,Annual,147,599
INV14194654,2023-08-23,2023-08-23,2023-08-23,1694.85,Card,2023-08-23,Annual,254,600
